gender,Age,Sibling,Survived/Not
0,39,1,1
1,24,2,0
0,2,0,0
1,20,0,0
1,34,1,0
0,8,0,1
1,31,1,0
1,61,0,0
1,23,0,0
1,22,0,0
0,32,1,0
1,48,1,1
0,24,1,1
1,26,0,1
1,49,1,0
1,3,1,1
0,31,1,1
1,38,0,0
1,21,0,0
0,16,0,1
0,58,0,1
0,28,0,1
1,59,0,0
0,37,0,0
0,23,0,1
1,18,1,0
1,22,0,0
1,49,1,1
1,26,0,1
0,28,0,1
0,30,3,1
0,9,3,0
1,39,0,0
1,18,1,0
0,11,4,0
0,23,0,1
1,36,0,1
0,50,0,1
0,16,4,1
0,50,0,1
0,30,0,1
0,7,0,1
1,3,1,1
1,24,0,0
1,48,1,1
1,62,0,1
1,44,0,1
1,71,0,0
0,63,0,1
1,29,1,0
